timestamp,user,ip_address,event_type,status,country,asn,lat,lon
2025-08-13 06:00:00.012,frank,198.51.100.23,login,failure,NL,AS16265,52.3676,4.9041
2025-08-13 06:00:00.810,yvonne,203.0.113.13,login,failure,US,AS15169,37.405,-122.0775
2025-08-13 06:00:01.000,zack,10.10.3.18,login,success,Internal,AS-PRIVATE,51.5074,-0.1278
2025-08-13 06:00:01.152,erin,192.168.2.40,network_request,success,Internal,AS-PRIVATE,51.5074,-0.1278
2025-08-13 06:00:01.179,zack,10.10.3.5,login,success,Internal,AS-PRIVATE,51.5074,-0.1278
2025-08-13 06:00:04.069,joice,10.10.2.14,login,success,Internal,AS-PRIVATE,51.5074,-0.1278
2025-08-13 06:00:05.163,ruth,192.168.1.34,login,success,Internal,AS-PRIVATE,51.5074,-0.1278
2025-08-13 06:00:05.508,frank,198.51.100.23,login,failure,NL,AS16265,52.3676,4.9041
2025-08-13 06:00:07.865,uma,192.168.1.34,network_request,success,Internal,AS-PRIVATE,51.5074,-0.1278
2025-08-13 06:00:08.054,yvonne,203.0.113.13,login,failure,US,AS15169,37.405,-122.0775
2025-08-13 06:00:09.057,uma,192.168.2.40,login,success,Internal,AS-PRIVATE,51.5074,-0.1278
2025-08-13 06:00:11.541,quentin,10.10.2.19,network_request,success,Internal,AS-PRIVATE,51.5074,-0.1278
2025-08-13 06:00:11.990,frank,198.51.100.23,login,failure,NL,AS16265,52.3676,4.9041
2025-08-13 06:00:14.939,judy,192.168.2.40,file_access,success,Internal,AS-PRIVATE,51.5074,-0.1278
2025-08-13 06:00:16.839,yvonne,203.0.113.13,login,failure,US,AS15169,37.405,-122.0775
2025-08-13 06:00:17.690,frank,198.51.100.23,login,failure,NL,AS16265,52.3676,4.9041
2025-08-13 06:00:18.201,oscar,172.16.11.9,login,failure,Internal,AS-PRIVATE,51.5074,-0.1278
2025-08-13 06:00:19.645,victor,10.10.3.5,login,success,Internal,AS-PRIVATE,51.5074,-0.1278
2025-08-13 06:00:21.442,sam,10.10.3.18,login,success,Internal,AS-PRIVATE,51.5074,-0.1278
2025-08-13 06:00:21.871,ruth,192.168.2.40,login,success,Internal,AS-PRIVATE,51.5074,-0.1278
2025-08-13 06:00:22.547,kathy,172.16.10.6,login,success,Internal,AS-PRIVATE,51.5074,-0.1278
2025-08-13 06:00:22.672,victor,172.16.10.6,file_access,success,Internal,AS-PRIVATE,51.5074,-0.1278
2025-08-13 06:00:23.873,frank,198.51.100.23,login,failure,NL,AS16265,52.3676,4.9041
2025-08-13 06:00:24.142,bob,192.168.1.34,login,success,Internal,AS-PRIVATE,51.5074,-0.1278
2025-08-13 06:00:24.147,trudy,172.16.10.6,network_request,success,Internal,AS-PRIVATE,51.5074,-0.1278
2025-08-13 06:00:25.780,yvonne,203.0.113.13,login,failure,US,AS15169,37.405,-122.0775
2025-08-13 06:00:25.921,charlie,172.16.12.21,network_request,success,Internal,AS-PRIVATE,51.5074,-0.1278
2025-08-13 06:00:27.314,yvonne,172.16.11.9,network_request,success,Internal,AS-PRIVATE,51.5074,-0.1278
2025-08-13 06:00:29.188,frank,198.51.100.23,login,failure,NL,AS16265,52.3676,4.9041
2025-08-13 06:00:29.252,frank,172.16.11.9,file_access,success,Internal,AS-PRIVATE,51.5074,-0.1278
2025-08-13 06:00:30.401,trudy,192.168.1.38,login,success,Internal,AS-PRIVATE,51.5074,-0.1278
2025-08-13 06:00:31.380,bob,172.16.11.9,login,success,Internal,AS-PRIVATE,51.5074,-0.1278
2025-08-13 06:00:31.720,xavier,192.168.2.40,network_request,success,Internal,AS-PRIVATE,51.5074,-0.1278
2025-08-13 06:00:33.383,yvonne,203.0.113.13,login,failure,US,AS15169,37.405,-122.0775
2025-08-13 06:00:33.499,ruth,172.16.12.21,file_access,success,Internal,AS-PRIVATE,51.5074,-0.1278
